index,Match No,Date,Man of the match,Venue,Home Team,Away Team,Toss Winner,Toss Decision,Winner,Result,Result Margin,Super Over,Umpire 1,Umpire 2,Loser,season
682,680,2018-05-13,JC Buttler,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,N,Nitin Menon,S Ravi,Mumbai Indians,2018
683,681,2018-05-14,UT Yadav,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,10.0,N,BNJ Oxenford,VK Sharma,Kings XI Punjab,2018
684,682,2018-05-15,Kuldeep Yadav,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,N,HDPK Dharmasena,AK Chaudhary,Rajasthan Royals,2018
685,683,2018-05-16,JJ Bumrah,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,3.0,N,M Erasmus,Nitin Menon,Kings XI Punjab,2018
686,684,2018-05-17,AB de Villiers,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,14.0,N,AY Dandekar,S Ravi,Sunrisers Hyderabad,2018
687,685,2018-05-18,HV Patel,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Delhi Daredevils,runs,34.0,N,VA Kulkarni,HDPK Dharmasena,Chennai Super Kings,2018
688,686,2018-05-19,S Gopal,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,runs,30.0,N,BNJ Oxenford,VK Sharma,Royal Challengers Bangalore,2018
689,687,2018-05-19,CA Lynn,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,5.0,N,AK Chaudhary,S Ravi,Sunrisers Hyderabad,2018
690,688,2018-05-20,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Delhi Daredevils,runs,11.0,N,HDPK Dharmasena,CK Nandan,Mumbai Indians,2018
691,689,2018-05-20,L Ngidi,Maharashtra Cricket Association Stadium,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,N,Nitin Menon,YC Barde,Kings XI Punjab,2018
692,690,2018-05-22,F du Plessis,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,2.0,N,C Shamshuddin,M Erasmus,Sunrisers Hyderabad,2018
693,691,2018-05-23,AD Russell,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,25.0,N,AK Chaudhary,Nitin Menon,Rajasthan Royals,2018
694,692,2018-05-25,Rashid Khan,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,14.0,N,HDPK Dharmasena,Nitin Menon,Kolkata Knight Riders,2018
695,693,2018-05-27,SR Watson,Wankhede Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,wickets,8.0,N,M Erasmus,S Ravi,Sunrisers Hyderabad,2018
