index,Match No,Date,Man of the match,Venue,Home Team,Away Team,Toss Winner,Toss Decision,Winner,Result,Result Margin,Super Over,Umpire 1,Umpire 2,Loser,season
764,761,2020-10-09,R Ashwin,Sharjah Cricket Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,46.0,N,KN Ananthapadmanabhan,C Shamshuddin,Rajasthan Royals,2020
765,762,2020-10-07,RA Tripathi,Sheikh Zayed Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,10.0,N,KN Ananthapadmanabhan,RK Illingworth,Chennai Super Kings,2020
766,763,2020-10-31,Sandeep Sharma,Sharjah Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,N,KN Ananthapadmanabhan,K Srinivasan,Royal Challengers Bangalore,2020
767,764,2020-10-01,KA Pollard,Sheikh Zayed Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,48.0,N,VK Sharma,S Ravi,Kings XI Punjab,2020
768,765,2020-09-30,Shivam Mavi,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,37.0,N,KN Ananthapadmanabhan,C Shamshuddin,Rajasthan Royals,2020
769,766,2020-11-02,A Nortje,Sheikh Zayed Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6.0,N,CB Gaffaney,S Ravi,Royal Challengers Bangalore,2020
770,767,2020-11-01,RD Gaikwad,Sheikh Zayed Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,9.0,N,PG Pathak,VK Sharma,Kings XI Punjab,2020
771,768,2020-10-11,R Tewatia,Dubai International Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,5.0,N,YC Barde,PR Reiffel,Sunrisers Hyderabad,2020
772,769,2020-09-23,RG Sharma,Sheikh Zayed Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,49.0,N,CB Gaffaney,S Ravi,Kolkata Knight Riders,2020
773,770,2020-10-17,S Dhawan,Sharjah Cricket Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,5.0,N,KN Ananthapadmanabhan,RK Illingworth,Chennai Super Kings,2020
774,771,2020-09-24,KL Rahul,Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,runs,97.0,N,AK Chaudhary,PR Reiffel,Royal Challengers Bangalore,2020
775,772,2020-10-06,SA Yadav,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,57.0,N,VK Sharma,S Ravi,Rajasthan Royals,2020
776,773,2020-10-18,LH Ferguson,Sheikh Zayed Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,tie,,Y,PG Pathak,S Ravi,Sunrisers Hyderabad,2020
777,774,2020-10-04,SR Watson,Dubai International Cricket Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,wickets,10.0,N,AY Dandekar,Nitin Menon,Kings XI Punjab,2020
778,775,2020-10-03,YS Chahal,Sheikh Zayed Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,8.0,N,CB Gaffaney,S Ravi,Rajasthan Royals,2020
779,776,2020-10-03,SS Iyer,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,18.0,N,VA Kulkarni,RK Illingworth,Kolkata Knight Riders,2020
780,777,2020-10-02,PK Garg,Dubai International Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,7.0,N,AK Chaudhary,PR Reiffel,Chennai Super Kings,2020
781,778,2020-10-18,KL Rahul,Dubai International Cricket Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,tie,,Y,Nitin Menon,PR Reiffel,Mumbai Indians,2020
782,779,2020-10-22,MK Pandey,Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,N,Nitin Menon,PR Reiffel,Rajasthan Royals,2020
783,780,2020-10-05,AR Patel,Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,59.0,N,Nitin Menon,YC Barde,Royal Challengers Bangalore,2020
784,781,2020-10-26,CH Gayle,Sharjah Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,8.0,N,KN Ananthapadmanabhan,RK Illingworth,Kolkata Knight Riders,2020
785,782,2020-10-23,TA Boult,Sharjah Cricket Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,10.0,N,C Shamshuddin,VA Kulkarni,Chennai Super Kings,2020
786,783,2020-10-17,AB de Villiers,Dubai International Cricket Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,wickets,7.0,N,AK Chaudhary,Nitin Menon,Rajasthan Royals,2020
787,784,2020-10-10,KD Karthik,Sheikh Zayed Stadium,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,2.0,N,UV Gandhe,CB Gaffaney,Kings XI Punjab,2020
788,785,2020-10-27,WP Saha,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,88.0,N,AK Chaudhary,Nitin Menon,Delhi Capitals,2020
789,786,2020-10-10,V Kohli,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,37.0,N,AK Chaudhary,PR Reiffel,Chennai Super Kings,2020
790,787,2020-10-16,Q de Kock,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,8.0,N,CB Gaffaney,VK Sharma,Kolkata Knight Riders,2020
791,788,2020-09-27,SV Samson,Sharjah Cricket Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4.0,N,RK Illingworth,K Srinivasan,Kings XI Punjab,2020
792,789,2020-10-13,RA Jadeja,Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,20.0,N,AK Chaudhary,PR Reiffel,Sunrisers Hyderabad,2020
793,790,2020-10-11,Q de Kock,Sheikh Zayed Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5.0,N,CB Gaffaney,S Ravi,Delhi Capitals,2020
794,791,2020-11-01,PJ Cummins,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,60.0,N,Nitin Menon,PR Reiffel,Rajasthan Royals,2020
795,792,2020-10-15,KL Rahul,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,8.0,N,KN Ananthapadmanabhan,C Shamshuddin,Royal Challengers Bangalore,2020
796,793,2020-09-29,Rashid Khan,Sheikh Zayed Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,15.0,N,VK Sharma,S Ravi,Delhi Capitals,2020
797,794,2020-10-19,JC Buttler,Sheikh Zayed Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,wickets,7.0,N,CB Gaffaney,VK Sharma,Chennai Super Kings,2020
798,795,2020-09-21,YS Chahal,Dubai International Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,10.0,N,AY Dandekar,Nitin Menon,Sunrisers Hyderabad,2020
799,796,2020-10-31,Ishan Kishan,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9.0,N,YC Barde,PR Reiffel,Delhi Capitals,2020
800,797,2020-10-29,RD Gaikwad,Dubai International Cricket Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,N,C Shamshuddin,RK Illingworth,Kolkata Knight Riders,2020
801,798,2020-10-30,BA Stokes,Sheikh Zayed Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,N,CB Gaffaney,S Ravi,Kings XI Punjab,2020
802,799,2020-10-04,TA Boult,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,34.0,N,KN Ananthapadmanabhan,RK Illingworth,Sunrisers Hyderabad,2020
803,800,2020-09-25,PP Shaw,Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,runs,44.0,N,KN Ananthapadmanabhan,RK Illingworth,Chennai Super Kings,2020
804,801,2020-10-12,AB de Villiers,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,82.0,N,RK Illingworth,K Srinivasan,Kolkata Knight Riders,2020
805,802,2020-10-25,BA Stokes,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,8.0,N,UV Gandhe,VK Sharma,Mumbai Indians,2020
806,803,2020-10-08,JM Bairstow,Dubai International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,69.0,N,AK Chaudhary,Nitin Menon,Kings XI Punjab,2020
807,804,2020-10-14,A Nortje,Dubai International Cricket Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,13.0,N,AK Chaudhary,Nitin Menon,Rajasthan Royals,2020
808,805,2020-10-25,RD Gaikwad,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,8.0,N,C Shamshuddin,RK Illingworth,Royal Challengers Bangalore,2020
809,806,2020-09-26,Shubman Gill,Sheikh Zayed Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,7.0,N,CB Gaffaney,VK Sharma,Sunrisers Hyderabad,2020
810,807,2020-10-20,S Dhawan,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,wickets,5.0,N,C Shamshuddin,RK Illingworth,Delhi Capitals,2020
811,808,2020-09-28,AB de Villiers,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,tie,,Y,Nitin Menon,PR Reiffel,Mumbai Indians,2020
812,809,2020-11-05,JJ Bumrah,Dubai International Cricket Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,57.0,N,CB Gaffaney,Nitin Menon,Delhi Capitals,2020
813,810,2020-11-06,KS Williamson,Sheikh Zayed Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,N,PR Reiffel,S Ravi,Royal Challengers Bangalore,2020
814,811,2020-11-08,MP Stoinis,Sheikh Zayed Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,17.0,N,PR Reiffel,S Ravi,Sunrisers Hyderabad,2020
815,812,2020-11-10,TA Boult,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5.0,N,CB Gaffaney,Nitin Menon,Delhi Capitals,2020
